Hotel,Booking_status,Lead Time,Arrival_Year,Arrival_Month,Weekend_Nights,Week_Nights,Adults,Children,Babies,Meal_Plan,Guest_Country,Market_Segment,City Hotel,City Hotel,Previous_Cancellations,Prior_Successful Stays,Reserved_Room_Type,Assigned_Room_Type,Booking_Changes,Deposit_Policy,Agent_ID,Days_on_Waitlist,Customer_Type,Average_Daily_Rate (USD),Special_Requests_Count,Reservation_Status,Status_Date,Total_Guests,Total_Nights,Total_Revenue (USD),Total_Revenue (INR)
City Hotel,YES,184,2016,August,0,1,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient-Party,140,1,Canceled,2016-07-18,2,1,140,12653
City Hotel,YES,34,2017,February,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,70,1,Canceled,2017-01-20,2,4,279,25287
City Hotel,NO,12,2017,August,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,0,Transient,204,1,Check-Out,2017-08-03,2,2,407,36915
City Hotel,NO,265,2016,April,0,4,2,0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,30,176,Transient-Party,99,0,Check-Out,2016-04-24,2,4,396,35917
City Hotel,NO,4,2017,June,1,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,17,A,A,0,No Deposit,94,0,Transient,65,2,Check-Out,2017-06-29,1,3,195,17687
City Hotel,YES,98,2017,August,2,4,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,195,0,Canceled,2017-05-13,3,6,1170,106119
City Hotel,YES,76,2017,March,0,4,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,0,Transient,138,3,Canceled,2017-02-06,2,4,553,50121
City Hotel,NO,1,2016,June,0,1,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,133,2,Check-Out,2016-06-29,1,1,133,12063
City Hotel,NO,2,2015,September,0,1,1,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,94,0,Transient-Party,90,0,Check-Out,2015-09-11,1,1,90,8163
City Hotel,NO,45,2016,November,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,0,Transient,75,0,Check-Out,2016-11-13,2,3,225,20408
City Hotel,NO,121,2017,May,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,138,0,Check-Out,2017-05-24,2,7,963,87343
City Hotel,NO,2,2016,June,0,2,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,A,A,1,No Deposit,94,0,Transient,120,0,Check-Out,2016-06-04,2,2,240,21768
City Hotel,NO,22,2016,October,0,3,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,0,Transient,85,0,Check-Out,2016-10-08,2,3,255,23129
City Hotel,NO,1,2016,June,2,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,129,0,Check-Out,2016-07-01,1,5,643,58320
City Hotel,NO,1,2016,September,0,2,2,0,0,BB,ISR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,37,0,Transient,170,2,Check-Out,2016-09-29,2,2,340,30838
City Hotel,NO,13,2017,February,1,1,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,98,0,Check-Out,2017-02-08,1,2,196,17777
City Hotel,NO,38,2016,February,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,0,Transient-Party,70,0,Check-Out,2016-02-14,2,1,70,6305
City Hotel,NO,91,2017,May,1,0,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,0,Transient,108,4,Check-Out,2017-05-15,2,1,108,9796
City Hotel,NO,104,2017,April,2,3,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,0,Transient,101,0,Check-Out,2017-04-11,3,5,506,45872
City Hotel,NO,92,2015,November,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,72,0,Check-Out,2015-11-14,2,3,217,19659
City Hotel,YES,17,2016,March,2,1,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,224,0,Canceled,2016-03-22,4,3,673,61040
City Hotel,NO,65,2017,April,2,4,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,76,1,Check-Out,2017-04-08,2,6,457,41484
City Hotel,NO,0,2017,January,0,1,1,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,88,0,Check-Out,2017-01-22,1,1,88,7982
City Hotel,NO,27,2015,November,2,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94,0,Transient,65,0,Check-Out,2015-11-25,1,3,195,17687
City Hotel,NO,276,2016,November,2,1,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,7,0,Transient,60,3,Check-Out,2016-11-16,2,3,181,16405
City Hotel,NO,1,2017,June,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,10,A,A,0,No Deposit,94,0,Transient,67,1,Check-Out,2017-06-22,1,1,67,6077
City Hotel,YES,41,2016,November,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,121,1,Canceled,2016-11-01,2,3,364,33014
City Hotel,NO,286,2016,May,0,4,3,0,0,BB,AUT,Groups,TA/TO,0,0,0,A,D,1,No Deposit,30,176,Transient-Party,144,1,Check-Out,2016-05-15,3,4,574,52062
City Hotel,NO,132,2017,August,1,5,2,0,1,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,125,3,Check-Out,2017-08-13,3,6,750,68025
City Hotel,NO,141,2016,July,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient-Party,105,2,Check-Out,2016-07-20,2,3,316,28652
City Hotel,YES,281,2016,April,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,0,Transient,62,0,Canceled,2015-10-21,2,2,124,11247
City Hotel,NO,0,2016,April,1,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,89,0,Check-Out,2016-04-18,2,3,267,24217
City Hotel,NO,6,2016,October,0,1,2,0,0,SC,NLD,Direct,Direct,0,0,0,A,B,0,No Deposit,14,0,Transient,140,0,Check-Out,2016-10-05,2,1,140,12698
City Hotel,NO,2,2016,June,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,127,0,Check-Out,2016-06-29,1,1,127,11519
City Hotel,NO,37,2016,July,1,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,A,0,No Deposit,94,0,Transient,147,2,Check-Out,2016-07-28,2,3,440,39917
City Hotel,NO,69,2015,December,0,4,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Contract,111,1,Check-Out,2016-01-03,2,4,445,40380
City Hotel,NO,45,2016,March,0,1,1,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,71,0,Check-Out,2016-03-11,1,1,71,6449
City Hotel,NO,0,2016,January,0,1,1,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83,0,Transient,64,0,Check-Out,2016-01-15,1,1,64,5805
City Hotel,NO,245,2016,December,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,146,1,Check-Out,2017-01-02,2,4,583,52896
City Hotel,NO,137,2017,May,2,5,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,123,0,Check-Out,2017-05-16,2,7,864,78366
City Hotel,YES,119,2016,June,2,5,2,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,86,0,Canceled,2016-03-02,2,7,599,54354
City Hotel,YES,54,2016,February,2,2,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,148,0,Canceled,2016-02-06,4,4,593,53814
City Hotel,NO,84,2017,March,0,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,142,0,Check-Out,2017-03-12,3,3,427,38693
City Hotel,NO,145,2016,August,0,2,2,2,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,0,Transient,191,2,Check-Out,2016-08-19,4,2,382,34611
City Hotel,NO,3,2016,May,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,155,1,Check-Out,2016-05-29,2,1,155,14059
City Hotel,NO,305,2016,September,2,2,2,0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14,0,Transient,99,2,Check-Out,2016-10-04,2,4,394,35772
City Hotel,YES,224,2016,December,2,3,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,82,0,Canceled,2016-08-13,2,5,411,37237
City Hotel,NO,85,2016,February,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,0,Transient,71,0,Check-Out,2016-02-08,2,5,355,32199
City Hotel,YES,44,2017,August,0,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,180,0,Canceled,2017-07-13,3,1,180,16326
City Hotel,NO,56,2016,March,2,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,0,Transient-Party,120,1,Check-Out,2016-03-24,2,4,479,43445
City Hotel,NO,2,2015,September,2,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,133,1,Check-Out,2015-09-24,2,4,532,48252
City Hotel,NO,30,2015,September,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Contract,106,1,Check-Out,2015-09-18,2,6,635,57549
City Hotel,NO,8,2015,December,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,0,Transient-Party,58,1,Check-Out,2015-12-18,2,3,174,15782
City Hotel,NO,8,2017,March,0,3,1,0,0,BB,LKA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,98,2,Check-Out,2017-03-05,1,3,294,26666
City Hotel,NO,48,2016,February,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,0,Transient,89,0,Check-Out,2016-02-13,2,2,179,16199
City Hotel,NO,23,2015,December,2,2,2,0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,50,0,Check-Out,2015-12-08,2,4,200,18140
City Hotel,NO,2,2015,November,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,94,0,Transient,70,1,Check-Out,2015-11-29,2,3,209,18930
City Hotel,YES,149,2017,July,2,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,0,Transient,176,1,Canceled,2017-07-26,2,6,1053,95507
City Hotel,YES,18,2017,February,1,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,88,0,No-Show,2017-02-03,2,3,264,23945
City Hotel,NO,2,2016,May,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,D,0,No Deposit,94,0,Transient-Party,67,1,Check-Out,2016-05-05,1,1,67,6077
City Hotel,NO,0,2015,August,0,1,2,1,0,SC,ITA,Direct,Direct,0,0,0,D,D,1,No Deposit,94,0,Transient,113,0,Check-Out,2015-08-19,3,1,113,10249
City Hotel,NO,58,2016,November,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,0,Transient,75,0,Check-Out,2016-11-13,2,3,225,20408
City Hotel,NO,5,2017,June,0,1,1,0,0,BB,ESP,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,0,Transient,130,0,Check-Out,2017-06-28,1,1,130,11791
City Hotel,YES,11,2016,June,0,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,139,1,Canceled,2016-06-23,2,3,417,37822
City Hotel,YES,145,2016,June,0,2,2,0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,117,1,Canceled,2016-06-13,2,2,233,21142
City Hotel,NO,0,2017,August,0,1,1,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,179,0,Check-Out,2017-08-06,1,1,179,16235
City Hotel,NO,242,2017,August,1,1,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,0,Transient,203,0,Check-Out,2017-08-07,4,2,405,36734
City Hotel,YES,143,2017,May,0,4,2,0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,108,1,Canceled,2016-12-13,2,4,432,39182
City Hotel,NO,28,2017,May,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,153,3,Check-Out,2017-05-18,2,3,460,41721
City Hotel,NO,29,2017,May,0,3,1,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,190,2,Check-Out,2017-05-14,1,3,570,51699
City Hotel,NO,17,2017,February,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,108,1,Check-Out,2017-02-16,2,3,324,29387
City Hotel,YES,33,2016,October,1,1,3,0,0,BB,ISR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,0,Transient,216,3,Canceled,2016-09-04,3,2,431,39101
City Hotel,YES,80,2016,April,2,0,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,82,0,Canceled,2016-01-19,1,2,164,14857
City Hotel,NO,5,2017,January,0,3,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14,0,Transient,100,0,Check-Out,2017-01-20,1,3,299,27120
City Hotel,NO,1,2017,January,0,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,88,0,Check-Out,2017-01-20,2,1,88,7982
City Hotel,NO,1,2016,October,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,0,Transient,103,0,Check-Out,2016-10-14,1,1,103,9306
City Hotel,YES,99,2016,May,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,133,0,Canceled,2016-03-05,2,4,530,48107
City Hotel,NO,1,2016,April,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,89,1,Check-Out,2016-04-09,2,1,89,8072
City Hotel,YES,91,2016,April,1,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,86,0,Canceled,2016-03-15,2,3,257,23265
City Hotel,NO,1,2017,August,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,28,0,Transient,110,1,Check-Out,2017-09-03,2,3,329,29795
City Hotel,YES,44,2016,August,2,2,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,168,2,Canceled,2016-08-04,3,4,673,61059
City Hotel,NO,149,2016,January,2,3,1,0,0,BB,EGY,Offline TA/TO,TA/TO,0,0,0,A,A,4,No Deposit,19,63,Transient-Party,71,0,Check-Out,2016-01-22,1,5,355,32199
City Hotel,YES,152,2017,July,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,152,0,Canceled,2017-02-13,2,1,152,13795
City Hotel,NO,300,2016,December,0,2,2,0,0,SC,MEX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,68,3,Check-Out,2016-12-24,2,2,135,12245
City Hotel,NO,30,2016,September,0,3,2,0,0,BB,AUS,Direct,Direct,0,0,0,G,G,0,No Deposit,14,0,Transient,240,0,Check-Out,2016-09-16,2,3,721,65386
City Hotel,NO,214,2016,August,2,2,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9,0,Transient-Party,159,1,Check-Out,2016-08-11,4,4,636,57667
City Hotel,YES,83,2017,April,1,3,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,164,0,Canceled,2017-01-28,3,4,657,59590
City Hotel,NO,57,2016,May,0,2,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,0,Transient,112,2,Check-Out,2016-05-20,1,2,223,20244
City Hotel,NO,10,2017,August,0,2,2,2,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,14,0,Transient,260,1,Check-Out,2017-08-18,4,2,520,47164
City Hotel,NO,68,2017,March,2,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,0,Transient,72,0,Check-Out,2017-03-29,2,3,216,19591
City Hotel,NO,51,2016,December,0,3,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,68,1,Check-Out,2016-12-11,2,3,205,18631
City Hotel,NO,3,2017,May,0,1,1,0,0,SC,ITA,Direct,Direct,0,0,0,A,A,1,No Deposit,94,0,Transient,128,0,Check-Out,2017-05-27,1,1,128,11610
City Hotel,NO,197,2016,August,2,3,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,0,Transient,138,2,Check-Out,2016-09-01,2,5,689,62447
City Hotel,NO,6,2017,July,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,1,6,A,A,0,No Deposit,94,0,Transient,65,1,Check-Out,2017-07-20,1,2,130,11791
City Hotel,YES,92,2016,August,1,0,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,150,0,Canceled,2016-05-26,3,1,150,13632
City Hotel,NO,14,2017,April,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9,0,Transient,135,3,Check-Out,2017-04-22,2,3,405,36734
City Hotel,YES,4,2017,January,1,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,0,Transient,112,0,No-Show,2017-01-02,2,4,447,40554
City Hotel,YES,105,2017,January,1,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,79,0,Canceled,2016-10-14,2,3,238,21550
City Hotel,NO,298,2017,April,1,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,0,Transient-Party,90,0,Check-Out,2017-04-17,2,3,270,24489
City Hotel,NO,82,2016,May,1,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,3,0,Transient-Party,80,1,Check-Out,2016-05-04,1,2,160,14512
City Hotel,YES,60,2016,July,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,105,0,Canceled,2016-05-17,2,1,105,9551
City Hotel,NO,46,2016,March,1,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,0,Transient,81,0,Check-Out,2016-04-01,2,4,323,29296
City Hotel,NO,15,2016,September,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,148,1,Check-Out,2016-09-21,2,1,148,13424
City Hotel,YES,283,2017,August,1,2,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,125,0,Canceled,2016-11-06,3,3,375,34040
City Hotel,YES,143,2016,August,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,141,0,Canceled,2016-03-28,2,3,422,38284
City Hotel,NO,108,2017,June,0,2,2,0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,126,1,Check-Out,2017-06-04,2,2,252,22856
