hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,19,2017,January,3,21,2,3,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,82.88,0,1,Check-Out,2017-01-26
City Hotel,1,184,2016,August,34,17,0,1,2,0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,139.5,0,1,Canceled,2016-07-18
City Hotel,1,34,2017,February,8,20,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,69.7,0,1,Canceled,2017-01-20
City Hotel,0,12,2017,August,31,1,0,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,203.5,0,1,Check-Out,2017-08-03
City Hotel,0,265,2016,April,17,20,0,4,2,0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,30,,176,Transient-Party,99,0,0,Check-Out,2016-04-24
City Hotel,0,4,2017,June,26,26,1,2,1,0,0,BB,PRT,Corporate,Corporate,1,0,17,A,A,0,No Deposit,94.13830565,40,0,Transient,65,0,2,Check-Out,2017-06-29
City Hotel,1,98,2017,August,33,16,2,4,3,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,195,0,0,Canceled,2017-05-13
City Hotel,1,76,2017,March,13,29,0,4,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,138.15,0,3,Canceled,2017-02-06
City Hotel,0,1,2016,June,27,28,0,1,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,133,0,2,Check-Out,2016-06-29
City Hotel,0,2,2015,September,37,10,0,1,1,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,94.13830565,68,0,Transient-Party,90,0,0,Check-Out,2015-09-11
City Hotel,0,45,2016,November,46,10,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,75,0,0,Check-Out,2016-11-13
City Hotel,0,121,2017,May,20,17,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,137.57,0,0,Check-Out,2017-05-24
City Hotel,0,2,2016,June,23,2,0,2,2,0,0,BB,PRT,Online TA,Corporate,0,0,0,A,A,1,No Deposit,94.13830565,263,0,Transient,120,0,0,Check-Out,2016-06-04
City Hotel,0,22,2016,October,41,5,0,3,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,85,0,0,Check-Out,2016-10-08
City Hotel,0,1,2016,June,27,26,2,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,128.6,0,0,Check-Out,2016-07-01
City Hotel,0,1,2016,September,40,27,0,2,2,0,0,BB,ISR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,37,,0,Transient,170,0,2,Check-Out,2016-09-29
City Hotel,0,13,2017,February,6,6,1,1,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,98,0,0,Check-Out,2017-02-08
City Hotel,0,38,2016,February,7,13,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient-Party,69.52,0,0,Check-Out,2016-02-14
City Hotel,0,91,2017,May,20,14,1,0,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Transient,108,0,4,Check-Out,2017-05-15
City Hotel,0,104,2017,April,14,6,2,3,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,101.15,0,0,Check-Out,2017-04-11
City Hotel,0,92,2015,November,46,11,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,72.25,0,0,Check-Out,2015-11-14
City Hotel,0,109,2016,April,14,1,2,4,0,1,0,BB,BEL,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient,73.74,0,1,Check-Out,2016-04-07
City Hotel,1,17,2016,March,13,26,2,1,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,224.33,0,0,Canceled,2016-03-22
City Hotel,0,65,2017,April,14,2,2,4,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,76.23,0,1,Check-Out,2017-04-08
City Hotel,0,0,2017,January,3,21,0,1,1,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,88,0,0,Check-Out,2017-01-22
City Hotel,0,27,2015,November,48,22,2,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.13830565,40,0,Transient,65,0,0,Check-Out,2015-11-25
City Hotel,0,276,2016,November,47,13,2,1,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,7,,0,Transient,60.29,0,3,Check-Out,2016-11-16
City Hotel,0,1,2017,June,25,21,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,1,10,A,A,0,No Deposit,94.13830565,40,0,Transient,67,1,1,Check-Out,2017-06-22
City Hotel,1,41,2016,November,46,11,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,121.33,0,1,Canceled,2016-11-01
City Hotel,0,286,2016,May,20,11,0,4,3,0,0,BB,AUT,Groups,TA/TO,0,0,0,A,D,1,No Deposit,30,,176,Transient-Party,143.5,0,1,Check-Out,2016-05-15
City Hotel,0,132,2017,August,32,7,1,5,2,0,1,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,125,0,3,Check-Out,2017-08-13
City Hotel,0,141,2016,July,30,17,2,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,105.3,0,2,Check-Out,2016-07-20
City Hotel,1,281,2016,April,16,14,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,2015-10-21
City Hotel,0,0,2016,April,16,15,1,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89,0,0,Check-Out,2016-04-18
City Hotel,0,6,2016,October,41,4,0,1,2,0,0,SC,NLD,Direct,Direct,0,0,0,A,B,0,No Deposit,14,,0,Transient,140,0,0,Check-Out,2016-10-05
City Hotel,0,2,2016,June,27,28,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,127,0,0,Check-Out,2016-06-29
City Hotel,0,37,2016,July,31,25,1,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,A,0,No Deposit,94.13830565,,0,Transient,146.7,0,2,Check-Out,2016-07-28
City Hotel,0,69,2015,December,53,30,0,4,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Contract,111.3,0,1,Check-Out,2016-01-03
City Hotel,0,3,2016,June,26,20,1,0,2,0,0,BB,PRT,Complementary,Direct,0,0,0,D,D,0,No Deposit,94.13830565,,0,Transient,0,1,3,Check-Out,2016-06-21
City Hotel,0,45,2016,March,11,10,0,1,1,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,71.1,0,0,Check-Out,2016-03-11
City Hotel,0,0,2016,January,3,14,0,1,1,0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,64,0,0,Check-Out,2016-01-15
City Hotel,0,245,2016,December,53,29,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,145.8,0,1,Check-Out,2017-01-02
City Hotel,0,137,2017,May,19,9,2,5,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,123.43,0,0,Check-Out,2017-05-16
City Hotel,1,119,2016,June,27,28,2,5,2,0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,85.61,0,0,Canceled,2016-03-02
City Hotel,1,54,2016,February,10,28,2,2,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,148.33,0,0,Canceled,2016-02-06
City Hotel,0,84,2017,March,10,9,0,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,142.2,0,0,Check-Out,2017-03-12
City Hotel,0,145,2016,August,34,17,0,2,2,2,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,,0,Transient,190.8,0,2,Check-Out,2016-08-19
City Hotel,0,3,2016,May,22,28,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,155,0,1,Check-Out,2016-05-29
City Hotel,0,305,2016,September,40,30,2,2,2,0,0,BB,DEU,Direct,Direct,0,0,0,D,D,0,No Deposit,14,,0,Transient,98.6,0,2,Check-Out,2016-10-04
City Hotel,1,224,2016,December,53,29,2,3,2,0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,82.11,0,0,Canceled,2016-08-13
City Hotel,0,85,2016,February,6,3,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,,0,Transient,71,0,0,Check-Out,2016-02-08
City Hotel,1,44,2017,August,33,19,0,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,180,0,0,Canceled,2017-07-13
City Hotel,0,56,2016,March,13,20,2,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient-Party,119.75,1,1,Check-Out,2016-03-24
City Hotel,0,2,2015,September,39,20,2,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,94.13830565,,0,Transient-Party,133,1,1,Check-Out,2015-09-24
City Hotel,0,30,2015,September,37,12,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,105.75,0,1,Check-Out,2015-09-18
City Hotel,0,8,2015,December,51,15,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient-Party,58,0,1,Check-Out,2015-12-18
City Hotel,0,8,2017,March,9,2,0,3,1,0,0,BB,LKA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,98,0,2,Check-Out,2017-03-05
City Hotel,0,48,2016,February,7,11,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,89.3,0,0,Check-Out,2016-02-13
City Hotel,0,23,2015,December,49,4,2,2,2,0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,94.13830565,143,0,Transient-Party,50,0,0,Check-Out,2015-12-08
City Hotel,0,2,2015,November,48,26,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,94.13830565,,0,Transient,69.57,0,1,Check-Out,2015-11-29
City Hotel,1,149,2017,July,30,28,2,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,175.5,0,1,Canceled,2017-07-26
City Hotel,1,18,2017,February,5,3,1,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88,0,0,No-Show,2017-02-03
City Hotel,0,2,2016,May,19,4,0,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,3,A,D,0,No Deposit,94.13830565,40,0,Transient-Party,67,1,1,Check-Out,2016-05-05
City Hotel,0,0,2015,August,34,18,0,1,2,1,0,SC,ITA,Direct,Direct,0,0,0,D,D,1,No Deposit,94.13830565,,0,Transient,113,0,0,Check-Out,2015-08-19
City Hotel,0,58,2016,November,46,10,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient,75,0,0,Check-Out,2016-11-13
City Hotel,0,5,2017,June,26,27,0,1,1,0,0,BB,ESP,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,,0,Transient,130,0,0,Check-Out,2017-06-28
City Hotel,1,11,2016,June,27,30,0,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,139,0,1,Canceled,2016-06-23
City Hotel,1,145,2016,June,26,21,0,2,2,0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,116.55,0,1,Canceled,2016-06-13
City Hotel,0,0,2017,August,31,5,0,1,1,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,179,0,0,Check-Out,2017-08-06
City Hotel,0,242,2017,August,31,5,1,1,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,202.5,0,0,Check-Out,2017-08-07
City Hotel,1,143,2017,May,18,2,0,4,2,0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,108,0,1,Canceled,2016-12-13
City Hotel,0,28,2017,May,20,15,1,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,153.33,0,3,Check-Out,2017-05-18
City Hotel,1,4,2015,December,49,5,0,1,2,0,0,BB,PRT,Complementary,Direct,1,2,0,A,A,0,No Deposit,94.13830565,45,0,Transient,0,0,2,Canceled,2015-12-04
City Hotel,0,29,2017,May,19,11,0,3,1,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,190,0,2,Check-Out,2017-05-14
City Hotel,0,17,2017,February,7,13,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,108,0,1,Check-Out,2017-02-16
City Hotel,1,33,2016,October,41,3,1,1,3,0,0,BB,ISR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,,0,Transient,215.55,0,3,Canceled,2016-09-04
City Hotel,1,80,2016,April,15,3,2,0,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,81.9,0,0,Canceled,2016-01-19
City Hotel,0,233,2016,September,36,3,1,1,1,0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,,0,Transient-Party,0,0,0,Check-Out,2016-09-05
City Hotel,0,5,2017,January,3,17,0,3,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,99.67,0,0,Check-Out,2017-01-20
City Hotel,0,1,2017,January,3,19,0,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88,0,0,Check-Out,2017-01-20
City Hotel,0,1,2016,October,42,13,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10,,0,Transient,102.6,0,0,Check-Out,2016-10-14
City Hotel,1,99,2016,May,22,23,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,132.6,0,0,Canceled,2016-03-05
City Hotel,0,1,2016,April,15,8,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89,0,1,Check-Out,2016-04-09
City Hotel,1,91,2016,April,18,25,1,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,85.5,0,0,Canceled,2016-03-15
City Hotel,0,1,2017,August,35,31,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,28,,0,Transient,109.5,0,1,Check-Out,2017-09-03
City Hotel,1,44,2016,August,34,14,2,2,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,168.3,0,2,Canceled,2016-08-04
City Hotel,0,149,2016,January,4,17,2,3,1,0,0,BB,EGY,Offline TA/TO,TA/TO,0,0,0,A,A,4,No Deposit,19,,63,Transient-Party,71,0,0,Check-Out,2016-01-22
City Hotel,1,152,2017,July,28,15,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,152.1,0,0,Canceled,2017-02-13
City Hotel,0,300,2016,December,52,22,0,2,2,0,0,SC,MEX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,67.5,0,3,Check-Out,2016-12-24
City Hotel,0,30,2016,September,38,13,0,3,2,0,0,BB,AUS,Direct,Direct,0,0,0,G,G,0,No Deposit,14,,0,Transient,240.3,0,0,Check-Out,2016-09-16
City Hotel,0,214,2016,August,33,7,2,2,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9,,0,Transient-Party,158.95,0,1,Check-Out,2016-08-11
City Hotel,1,83,2017,April,15,10,1,3,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,164.25,0,0,Canceled,2017-01-28
City Hotel,0,57,2016,May,21,18,0,2,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,111.6,0,2,Check-Out,2016-05-20
City Hotel,0,10,2017,August,33,16,0,2,2,2,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,14,,0,Transient,260,0,1,Check-Out,2017-08-18
City Hotel,0,68,2017,March,13,26,2,1,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138,,0,Transient,72,0,0,Check-Out,2017-03-29
City Hotel,0,51,2016,December,50,8,0,3,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,68.47,0,1,Check-Out,2016-12-11
City Hotel,0,3,2017,May,21,26,0,1,1,0,0,SC,ITA,Direct,Direct,0,0,0,A,A,1,No Deposit,94.13830565,,0,Transient,128,0,0,Check-Out,2017-05-27
City Hotel,0,197,2016,August,35,27,2,3,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,137.7,0,2,Check-Out,2016-09-01
City Hotel,0,6,2017,July,29,18,0,2,1,0,0,BB,PRT,Corporate,Corporate,1,1,6,A,A,0,No Deposit,94.13830565,40,0,Transient,65,0,1,Check-Out,2017-07-20
City Hotel,1,92,2016,August,35,22,1,0,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,150.3,0,0,Canceled,2016-05-26
City Hotel,0,14,2017,April,16,19,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9,,0,Transient,135,0,3,Check-Out,2017-04-22
City Hotel,1,4,2017,January,1,2,1,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,111.78,0,0,No-Show,2017-01-02
City Hotel,1,105,2017,January,4,27,1,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79.2,0,0,Canceled,2016-10-14
City Hotel,0,298,2017,April,15,14,1,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient-Party,90,0,0,Check-Out,2017-04-17
City Hotel,0,82,2016,May,19,2,1,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,3,,0,Transient-Party,80,0,1,Check-Out,2016-05-04
City Hotel,1,60,2016,July,29,12,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,105.3,0,0,Canceled,2016-05-17
City Hotel,0,46,2016,March,14,28,1,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,,0,Transient,80.75,0,0,Check-Out,2016-04-01
City Hotel,0,15,2016,September,39,20,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,148,1,1,Check-Out,2016-09-21
